date,year,month,segment_label,passengers,commercial_units,direct_flights,destinations,passengers_yoy_pct,direct_flights_yoy_pct
2004-08-01,2004,8,International,8103586,9591089,93315,103,5.97,3.99
2004-08-01,2004,8,National,2373250,2563061,41276,2,-4.99,-5.1
2004-09-01,2004,9,International,7262421,8902581,89466,99,8.16,3.77
2004-09-01,2004,9,National,2331595,2543215,41196,2,-3.62,-7.77
2004-10-01,2004,10,International,6825568,8648329,87175,99,8.83,3.63
2004-10-01,2004,10,National,2392966,2606194,41727,2,-4.19,-8.59
2004-11-01,2004,11,International,5298386,7078921,76404,93,5.99,1.59
2004-11-01,2004,11,National,2154238,2350009,38547,2,-0.98,-0.96
2004-12-01,2004,12,International,5504404,7022597,75357,96,4.62,-0.48
2004-12-01,2004,12,National,2308960,2543135,38690,2,-0.61,-4.55
2005-01-01,2005,1,International,5734565,7232304,79396,94,10.22,2.45
2005-01-01,2005,1,National,2210293,2428484,40109,2,1.71,-0.26
2005-02-01,2005,2,International,5433480,7186175,73220,96,2.57,-2.62
2005-02-01,2005,2,National,2007147,2220661,36660,2,-0.51,-0.18
2005-03-01,2005,3,International,6421583,8378405,82629,97,9.95,1.18
2005-03-01,2005,3,National,2274555,2514249,40431,2,-1.5,-1.24
2005-04-01,2005,4,International,6999234,8775534,86144,96,5.03,2.19
2005-04-01,2005,4,National,2339342,2583887,40725,2,-1.19,0.52
2005-05-01,2005,5,International,7573973,9204594,92080,98,9.78,2.64
2005-05-01,2005,5,National,2408825,2622985,42068,2,1.04,1.15
2005-06-01,2005,6,International,7649772,9019490,90877,96,8.6,3.49
2005-06-01,2005,6,National,2601333,2824753,42624,2,1.8,-0.08
2005-07-01,2005,7,International,8714033,10288521,95962,102,9.32,1.54
2005-07-01,2005,7,National,2708166,2917708,44559,2,3.52,1.05
2005-08-01,2005,8,International,8604436,9875038,94284,103,6.18,1.04
2005-08-01,2005,8,National,2408488,2600782,41451,2,1.48,0.42
2005-09-01,2005,9,International,7795190,9528662,91539,101,7.34,2.32
2005-09-01,2005,9,National,2387530,2616391,42714,2,2.4,3.68
2005-10-01,2005,10,International,7153263,9066662,87493,98,4.8,0.36
2005-10-01,2005,10,National,2358083,2587464,41539,2,-1.46,-0.45
2005-11-01,2005,11,International,5787370,7612573,77958,98,9.23,2.03
2005-11-01,2005,11,National,2218096,2432384,39409,2,2.96,2.24
2005-12-01,2005,12,International,5981745,7897798,77427,99,8.67,2.75
2005-12-01,2005,12,National,2364929,2626187,39539,2,2.42,2.19
2006-01-01,2006,1,International,6048303,7454790,81474,98,5.47,2.62
2006-01-01,2006,1,National,2239356,2473407,40265,2,1.31,0.39
2006-02-01,2006,2,International,5807779,7039054,75630,94,6.89,3.29
2006-02-01,2006,2,National,2014567,2221687,36576,2,0.37,-0.23
